HJ,ND,YH,DF,FI,RW
0,0,4,1,3,4
1,0,3,2,4,3
2,1,4,1,0,4
3,2,2,3,4,0
4,2,2,1,4,2
5,4,2,3,3,1
6,2,0,3,0,4
7,0,0,2,4,1
8,0,4,1,0,3
9,2,4,1,4,3
10,2,0,1,0,2
11,2,3,1,0,1
12,0,0,4,4,4
13,3,0,0,0,4
14,3,1,4,4,0
15,0,4,2,4,0
16,2,2,0,3,4
17,2,1,0,4,4
18,0,2,1,2,0
19,0,3,1,0,4
20,2,2,1,4,3
21,1,4,1,3,0
22,4,3,1,1,2
23,3,1,1,0,1
24,3,1,4,0,2
25,1,2,0,1,1
26,1,3,4,1,2
27,3,3,1,2,4
28,4,3,4,4,2
29,4,0,0,4,1
30,0,3,3,1,4
31,1,3,0,1,1
32,4,3,1,1,2
33,0,4,3,0,1
34,2,3,0,0,0
35,1,2,3,1,0
36,1,3,2,3,0
37,4,3,0,4,4
38,2,1,1,0,3
39,0,4,1,0,0
40,0,2,1,2,3
41,2,3,3,1,4
42,4,0,4,0,3
43,0,0,4,3,0
44,0,2,0,0,2
45,0,1,2,4,0
46,2,3,1,3,2
47,1,0,3,3,0
48,0,4,0,2,2
49,1,4,2,0,0
50,3,0,0,2,2
51,1,0,3,3,1
52,2,3,0,1,0
53,2,4,2,1,2
54,2,0,1,1,3
55,4,3,1,2,1
56,4,4,2,2,2
57,0,3,2,1,4
58,3,3,0,0,0
59,4,2,3,3,2
60,3,4,4,2,3
61,4,0,3,1,3
62,4,3,0,4,4
63,2,4,2,0,1
64,3,2,1,1,2
65,3,1,0,1,1
66,2,2,3,2,2
67,1,2,4,3,3
68,1,3,0,0,2
69,0,2,2,2,0
70,1,2,3,1,4
71,1,2,0,1,0
72,3,3,2,0,3
73,0,0,2,1,3
74,2,2,0,2,3
75,3,3,2,4,0
76,4,0,2,2,1
77,1,3,3,3,0
78,0,1,3,3,0
79,0,0,3,3,1
80,2,3,3,3,2
81,4,3,4,0,2
82,4,4,1,3,0
83,2,1,2,0,0
84,2,0,3,0,1
85,4,1,1,4,0
86,1,1,2,3,0
87,4,0,0,3,3
88,1,2,2,1,4
89,1,2,1,4,1
90,1,0,0,3,0
91,1,0,3,2,4
92,1,1,3,2,1
93,0,2,2,4,1
94,0,3,0,2,2
95,3,3,4,3,3
96,0,2,0,0,4
97,2,0,3,3,2
98,1,3,3,3,2
99,4,1,2,4,1
100,2,3,3,4,3
101,3,4,4,1,4
102,2,3,1,0,1
103,0,1,0,1,1
104,1,4,2,4,1
105,3,2,3,2,2
106,2,1,1,4,1
107,0,3,3,0,1
108,4,0,3,3,0
109,2,2,4,4,2
110,3,2,0,0,2
111,3,0,2,4,2
112,2,0,1,1,4
113,3,2,0,0,0
114,4,2,4,2,4
115,3,1,3,3,2
116,0,2,4,2,4
117,1,4,0,2,3
118,1,1,0,4,1
119,2,0,1,1,0
120,0,4,1,3,1
121,2,1,3,1,3
122,3,3,1,1,3
123,0,4,4,3,3
124,3,2,0,1,0
125,1,3,1,0,3
126,0,4,2,2,4
127,4,2,2,1,4
128,0,4,0,4,0
129,2,0,0,4,0
130,4,4,2,3,1
131,4,2,1,1,2
132,4,2,0,0,0
133,3,3,1,4,4
134,3,1,2,3,1
135,0,4,1,4,0
136,2,2,1,0,0
137,0,1,2,2,4
138,3,2,0,0,1
139,0,0,3,3,0
140,3,2,3,4,0
141,3,2,3,4,4
142,3,4,2,3,0
143,4,1,4,2,4
144,1,2,2,4,1
145,2,1,2,3,1
146,3,0,2,3,0
147,4,2,2,3,4
148,4,0,4,4,3
149,4,2,0,4,0
150,0,1,3,2,1
151,2,3,0,0,1
152,0,0,2,4,2
153,4,3,1,1,1
154,3,1,0,3,0
155,0,1,1,3,2
156,1,0,1,4,2
157,2,0,1,2,0
158,1,4,1,0,0
159,3,1,3,4,1
160,4,1,3,2,4
161,4,0,4,3,2
162,3,2,1,1,0
